,노래제목,가수,가사
21,낙엽을 닮은 (Album Ver.),숨의숲,"낙엽을 닮은 너의 눈동자를 
나는 정말 정말 좋아했었어 
가을을 닮은 너의 목소리를
나는 아직 아직 잊지 못했어
 
같이 걸으면서 들었던 낙엽 소리가
내 귓가에 들려오는 것만 같아 
함께 앉아 있던 좁다란 나무 벤치엔
너의 온기가 남아있는 것만 같아
 
낙엽을 닮은 너의 눈동자를  
나는 정말 정말 좋아했었어 
가을을 닮은 너의 목소리를
나는 아직 아직 잊지 못했어

같이 걸으면서 들었던 낙엽 소리가
내 귓가에 들려오는 것만 같아 
함께 앉아 있던 좁다란 나무 벤치엔
너의 온기가 남아있는 것만 같아
 
낙엽을 닮은 너의 눈동자를  
나는 정말 정말 좋아했었어 
가을을 닮은 너의 목소리를
나는 아직 아직 잊지 못했어

낙엽을 닮은 너의 눈동자를  
나는 정말 정말 좋아했었어 
가을을 닮은 너의 목소리를
나는 아직 아직 잊지 못했어
나는 아직 아직 잊지 못했어"
22,밤 호수 (With 임윤경),강기웅,"가을 향기에 네가 실려와
선명했던 지난날이 바래진 채로
깊은 호수에 내 마음을 던졌네
일렁인 것은 퍼진 물결일까 눈물일까
어두운 하늘에 네가 불어와
쌓여왔던 마음들이 담겨진 채로
작은 별 위에 내 마음을 걸었네
반짝인 것은 번진 눈물일까 그때일까
밤새 이름 짓던 우리 이야기가
개일 안개처럼 흩어지네
깊은 호수에 내 마음을 던졌네
일렁인 것은 무엇일까"
23,사막길,늘섬CONNECT 아티스트,"내가 떠나보낸 그대
지난 시간 동안 나의 태양이었는데
그을려 따가웠던 걸까
바위 밑으로 숨어버렸네
금세 도는 한기는
그대의 소중함을 느끼게 하고
돌아가 보려고 해도 이미 밤이 되었네
밤이 되었네
깜깜해진 사막길을 걷고 걸어
무뎌졌던 발바닥이 원망스러워
저기 별이 태양으로 변한다면
그때라고 따뜻함을 깨달을까
움켜줬던 모래는
서늘한 바람에 다 흩날려가고
텅 빈 주먹을 나는 쉬이 펴지 못했네
펴지 못했네
깜깜해진 사막길을 걷고 걸어
무뎌졌던 발바닥이 원망스러워
저기 별이 태양으로 변한다면
그때라고 따뜻함을 깨달을까"
24,그 안에서,정윤 그리고 현서,"눈을 감고 다시 떠 보면
그대로인 게 없는 것 같아요
흘러가다 보니 내 모습
너무 작아 보여요
내 마음을 들여다보면
잠잠할 날이 없는 것 같아요
작은 생각에도 쉽게
무너지는 나예요
그럴 때면 나는 그대의 눈빛 속에서
변하지 않는 사랑을 찾아요
그 안에서 난 흔들리지 않는 바다처럼
담담하게 걸을 수 있어요
시간이 갈수록
혼자 해낼 수 있는 게 줄어가요
그럴 때면 나는 그대의 눈빛 속에서
변하지 않는 사랑을 찾아요
그 안에서 난 모든 걸 품어내는
저 하늘처럼
누구보다 강할 수 있어요
그 안에서 난 나일 수 있어요"
25,Barefoot,챈스(Chance),"한참 걸었는데도 똑같은 곳이
보이는 건 길을 잃어버린걸까
시간은 가고 있는데아직 까진
끝이 안 보이는 것 같아
내린 곳은 모두 똑같겠지만
우린 모두 같은 생각을 하지
The world is big enough to us
We are like a star
The world is filled with the stars and
We're gonna shine
We're small
And get hurt
We walked all night long
And then another day
From early in the morning
Untill late of night
Barefoot
Was barefoot
We're small
And get hurt
We walked all night long
And then another day
From early in the morning
Untill late of night
Barefoot
Was barefoot
한참 걸었는데도 똑같은 곳이
보이는 건 길을 잃어버린걸까
시간은 가고 있는데
아직 까진 끝이 안 보이는 것 같아"
26,"곁에서, 당신을 기다리던 밤",설경,"그댄 왜 내게 멀어져 가나요
짙은 그늘에 홀로 움츠려 울고 있는 날
나를 잡아요 나를 일으켜줘요
불안한 내 맘이 그댈 미워하지 않도록
가득히 빛나는 달빛 아래
조용히 눈물짓는 별이 보이나요
어둠 속을 헤메이는 나의 손잡아 주길 그대
구름 드리운 으으음 서글픈 나의 밤
나를 잡아요 나를 일으켜줘요
눈부신 그대 곁에서 혼자가 돼버린 나를
가득히 빛나는 달빛 아래
조용히 눈물짓는 별이 보이나요
어둠 속을 헤메이는 나의 손잡아 주길 그대
구름 드리운 으으음 서글픈 나의 밤"
27,마음,다린CONNECT 아티스트,"들키기 싫은 마음
한 켠에 소복이 쌓아두고
누굴 꼬박 기다리는 듯
밤 지새우네
둥글게 엮어둔 마음
여긴 슬픈 이름의 마을
나는 시린 눈을 부비고
잠이 들었네
우린 그렇게 바쁘지 않은데
꺼내둔 마음 중 하나를
급히 투정처럼 옮겨 적었지
들춰보니 나는 너의 얼굴을
하얗게 태우던 밤엔
무릎 위에 꺼내두던 사랑
그대 어느 아침에 사라지는지
감은 눈꺼풀 아래 인사를 포개 놓았지
우린 그렇게 바쁘지 않은데
꺼내둔 마음 중 하나를
급히 투정처럼 옮겨 적었지
들춰보니 나는 너의 얼굴을
하얗게 태우던 밤엔
무릎 위에 꺼내두던 사랑
그대 어느 아침에 사라지는지
감은 눈꺼풀 아래 인사를 포개 놓았지"
28,"안녕, 삐",이영훈,"나도 모르게 향한 발걸음의 끝엔 
웃고 있는 너
습관적인 안녕이란 인사는
아무런 의미도 없어

하려 했던 말들은 짖궂은 농담으로 
널 위한 선물대신 
내 손엔 쥐어진 담배 한 개비 

어디로 가야할지 모르겠어 
뭐라고 해야할지 모르겠어 
어디로 가야할지 모르겠어 
뭐라고 해야할지 모르겠어 

웃고 있는 너와 절벽 위의 나 
웃고 있는 너와 절벽 위의 나 
웃고 있는 너와 절벽 위의 나 
웃고 있는 너와 절벽 위의 나 

나도 모르게 향한 
발걸음의 끝엔 웃고 있는 너"
29,인과 연,234,"인연이라는 게
그렇게 쉬울 수가 없더라
쉽게 떠나가고
또 쉽게 다가오더라
인연이라는 게
그렇게 미울 수가 없더라
밉게 떠나가고
또 밉게도 맴돌더라
인연이라는 게
사람 참 힘들게 하더라
쉽게 떠나가더니
어렵게도 잊혀지더라
인연이라는 게
그냥 참 어려운 거더라
외로운 헤매임도
하염없이 긴 기다림도
아 멀어진 사람과
어설픈 사랑들
그리운 마음은 갈 곳 없네
아 우스운 말이지만
이토록 엇나간 우리들은
인연이긴 했었던 걸까
인연이라는 게
마음대로 되지 않더라
밀어내고 싶은 마음도
다가가고 싶은 마음도
인연이라는 게
한낱 꿈결같은 거더라
잡으려면 멀어지고
애쓰지 않아도 머물더라"
32,Palo Santo,Saint Joshua,"Guess it's really funny how
I never really had a doubt
That you will always be around
For real
For real
Never wanna get to close
Being weary is our antidote
And the truth is we are capable
So what's the deal
For real
If you want a lover
You know what's good
I got the Palo Santo
The holy wood
I say no wahala
If you understood
How I feel
I feel
If you want a lover
You know what's good
I got the Palo Santo
The holy wood
I say no wahala
If you understood
Come on
Come on
Oh
Guess it's really funny how
Bad energies don't make a sound
But the effect you can feel it quick
Don't rest it
Correct it, because
Bad energy bad shop
Burning all around the clock
Don't leave it we can make it stop
Ooo tell me what you really want
Tell me what you really want
If you want a lover
You know what's good
I got the Palo Santo
The holy wood
I say no wahala
If you understood
How I feel
I feel
If you want a lover
You know what's good
I got the Palo Santo
The holy wood
I say no wahala
If you understood
Come on
Come on
Pray you won't wait too long
Tell me so cus I won't go
Hold you close you'll never be alone
Pray you won't wait too long
Tell me so cus I won't go
Hold you close you'll never be alone
Alone (Alone)
If you want a lover
You know what's good
I got the Palo Santo
The holy wood
I say no wahala
If you understood
How I feel
I feel
If you want a lover
You know what's good
I got the Palo Santo
The holy wood
I say no wahala
If you understood
Come on
Come on"
